,,
,Third Year Standing,
,COSC 111,
,COSC 122,
,STAT 230,
,Math 221,
,STAT 230,
,APSC 254,COSC 111
,APSC 254,APSC 177
,BIOL 202,COSC 111
,BIOL 202,APSC 177
,PSYO 373,COSC 111
,PSYO 373,APSC 177
,STAT 230,
,STAT 230,
,STAT 230,
,PSYO 372,
,BIOL 202,
,MATH 221,
,STAT 303,
,DATA 311,
,Fourth Year Standing,
